severity,type,component,line,rule,message,status,effort
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsolePartitionActionResponse.java,13,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""longValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-worker/core/src/main/java/io/github/pinpols/batch/worker/core/support/AbstractTaskConsumer.java,380,java:S3776,Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed.,OPEN,20min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsoleBatchWindowResponse.java,42,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-worker/import/src/main/java/io/github/pinpols/batch/worker/imports/stage/PreprocessStep.java,241,java:S1192,"Define a constant instead of duplicating this literal ""replacementCount"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsoleHolidayResponse.java,31,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""localDateValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/rbac/support/ConsoleLoginKeyPairService.java,70,java:S1192,"Define a constant instead of duplicating this literal ""PUBLIC KEY"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-worker/dispatch/src/main/java/io/github/pinpols/batch/worker/dispatchs/infrastructure/DispatchStepExecutionAdapter.java,63,java:S1192,"Define a constant instead of duplicating this literal ""dispatchPayload"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/infrastructure/DefaultConsoleJobTriggerService.java,76,java:S1192,"Define a constant instead of duplicating this literal ""catch:Exception"" 4 times.",OPEN,10min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/config/DefaultConsoleResourceQueueApplicationService.java,66,java:S1192,"Define a constant instead of duplicating this literal ""max_running_jobs"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/infrastructure/scheduler/BatchDayCutoffScheduler.java,58,java:S3776,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,OPEN,8min
